refArea,Illiteracy,SchoolDropout,Observation URI,references,University,publisher,Secondary,Intermediate,Vocational,Elementary,HigherEducation,Town,dataset,Governorate,District
https://dbpedia.org/page/Akkar_Governorate,5.0,3.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Machha,https://impact.cib.gov.lb/home#open_data_section,12.0,Impact Open Data,20.0,20.0,10.0,30.0,3.0,Machha,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Akkar Governorate,
https://dbpedia.org/page/South_Governorate,3.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Machmoucheh,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,20.0,25.0,4.0,15.0,13.0,Machmoucheh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,
https://dbpedia.org/page/Akkar_Governorate,20.0,10.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Machta+Hammoud,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,20.0,10.0,10.0,20.0,10.0,Machta Hammoud,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Akkar Governorate,
https://dbpedia.org/page/Akkar_Governorate,1.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Machta+Hassan,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,33.0,35.0,5.0,15.0,1.0,Machta Hassan,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Akkar Governorate,
http://dbpedia.org/resource/Sidon_District,0.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maghdoucheh,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,50.0,10.0,10.0,5.0,5.0,Maghdoucheh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Sidon District
http://dbpedia.org/resource/Bsharri_District,10.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Magher+wbala,https://impact.cib.gov.lb/home#open_data_section,25.0,Impact Open Data,24.0,20.0,10.0,10.0,1.0,Magher Wbala,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Bsharri District
http://dbpedia.org/resource/Tyre_District,15.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mahrouna,https://impact.cib.gov.lb/home#open_data_section,29.0,Impact Open Data,15.0,20.0,10.0,10.0,1.0,Mahrouna,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
https://dbpedia.org/page/Akkar_Governorate,5.0,3.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdala,https://impact.cib.gov.lb/home#open_data_section,5.0,Impact Open Data,10.0,30.0,15.0,30.0,5.0,Majdala,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Akkar Governorate,
https://dbpedia.org/page/Baalbek-Hermel_Governorate,4.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdaloun,https://impact.cib.gov.lb/home#open_data_section,7.0,Impact Open Data,20.0,20.0,5.0,40.0,4.0,Majdaloun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Baalbek-Hermel Governorate,
https://dbpedia.org/page/Mount_Lebanon_Governorate,0.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdalouna,https://impact.cib.gov.lb/home#open_data_section,30.0,Impact Open Data,30.0,20.0,10.0,0.0,10.0,Majdalouna,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,
http://dbpedia.org/resource/Tyre_District,13.0,4.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel,https://impact.cib.gov.lb/home#open_data_section,2.0,Impact Open Data,3.0,25.0,4.0,52.0,1.0,Majdel,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
http://dbpedia.org/resource/Zahl̩_District,2.0,40.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+Aanjar,https://impact.cib.gov.lb/home#open_data_section,12.0,Impact Open Data,20.0,40.0,8.0,10.0,8.0,Majdel Aanjar,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Zahl̩ District
http://dbpedia.org/resource/Aley_District,5.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+Baana,https://impact.cib.gov.lb/home#open_data_section,8.0,Impact Open Data,20.0,30.0,5.0,30.0,2.0,Majdel Baana,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,Aley District
https://dbpedia.org/page/Beqaa_Governorate,2.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+Balhis,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,7.0,30.0,1.0,50.0,0.0,Majdel Balhis,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Beqaa Governorate,
http://dbpedia.org/resource/Byblos_District,0.0,3.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+El-Aqoura,https://impact.cib.gov.lb/home#open_data_section,0.0,Impact Open Data,25.0,0.0,25.0,0.0,0.0,Majdel El-Aqoura,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Byblos District
https://dbpedia.org/page/Mount_Lebanon_Governorate,5.0,3.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+El-Meouch,https://impact.cib.gov.lb/home#open_data_section,15.0,Impact Open Data,30.0,20.0,10.0,15.0,5.0,Majdel El-Meouch,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,
